A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56
871	1520	1545	1669	1645	1442	1433	1440	1794	1832	1893	1849	1795	1949	2019	2077	2040	2148	2166	2100	2319	2331	2483	2256	2128	2105	1878	1826	1709	1521	1263	1440	1591	1732	1765	1843	1674	1737	1745	1923	2119	1459	1775	1791	1785	1888	1995	2002	1983	2023	2147	1885	1873	1847	1834	1658
432	1591	1563	1361	1435	1410	1571	1654	1047	1073	1049	1027	984	1016	1044	1054	1105	1050	1093	1308	1253	1415	1257	1521	1809	1972	1944	1852	1852	1888	1784	1653	1708	1362	1317	1265	1228	1003	980	888	1540	1590	1541	1428	1344	1267	1334	1377	1389	1479	1668	1639	1725	1771	1614	1563
B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56
1089	1090	1123	1327	1267	1108	1025	1111	1582	1606	1668	1630	1614	1728	1775	1821	1774	1886	1879	1720	1929	1852	2062	1747	1500	1406	1222	1231	1124	949	781	991	1095	1383	1426	1519	1388	1560	1572	1770	1618	1043	1328	1393	1437	1555	1617	1599	1578	1572	1583	1461	1326	1282	1344	1219
521	1827	1817	1702	1752	1625	1760	1626	1497	1533	1547	1499	1439	1541	1597	1628	1655	1664	1701	1861	1918	2063	2006	2118	2306	2433	2296	2195	2135	2073	1860	1838	1959	1732	1708	1701	1587	1427	1407	1412	2060	1794	1904	1814	1748	1715	1831	1871	1875	1973	2192	2088	2108	2134	1995	1872
